"appTitle","userName","date","score","text"
,"Sujit Kumar","May 1, 2019",1,"Why cant we connect MI 4A PRO with it.Its not showing even the wifi of TV is already ON. Also, there should be an option to connect through mobile wifi directly ro TV for screen mirroring without any need of 3rd device."
,"Safa Asad","May 1, 2019",5,"good"
,"Siddhant Sikka","May 1, 2019",3,"one request. when and I ask home device to send a link of my last search result to my phone, kindly send it as a notification rather then open the app to see the result because anyway I can go to the app to see it."
,"Burhanuddin Barwahwala","May 1, 2019",1,"bugs!! Not expected from Google"
,"Yogendra singh Thakur","May 1, 2019",5,"nice"
,"Ritu Choudhary","May 1, 2019",5,"good performance aap"
,"Marc Newton","May 1, 2019",3,"Its ok"
,"siddharth shelar","May 1, 2019",1,"very bad...not connected for my led tv"
,"Rodel Claricia","May 1, 2019",4,"great"
,"Sam M","May 1, 2019",2,"always unlinking and wont let me control devices via vioice."
,"Dalton Olson","May 1, 2019",2,"wount let me download the app. so not sure.."
,"Selvaganesh K","May 1, 2019",2,"why can't I setup using chrome browser which I had setup before, now the same webpage strictly allows to download google home app, but it doesn't work with Google Home app for iPhone."
,"DEVAPRABHA LAKSHMANAN","May 1, 2019",4,"calling not working in india"
,"মোঃ সোহেল রানা","May 1, 2019",5,"ok"
,"Zzzz M.","May 1, 2019",1,"privacy scam app, gps location required for nothing.... stupid f@#$tards"
,"Alexander Tinga","May 1, 2019",5,"Awesome"
,"Dan","May 1, 2019",4,"be a 5 but still glitchy sometimes"
,"narendra raja","May 1, 2019",5,"nice"
,"Crown Simmons","May 1, 2019",5,"I love"
,"Jony ৭Khan","May 1, 2019",5,"ok"
,"Anthony Hynes","May 1, 2019",3,"Google has got to get the update Straight. it seems like they come out with a good feature and then they take it away, for example I used to be able to control the color of my light and now I can't. I have reported it numerous times and I have not gotten a response and the problem has not been corrected. Rebooting the router or lights or even re-adding the lights does not free add the color changing feature to the Google home app for that light oh, this has been tried with no results."
,"eyesoversociety","April 30, 2019",4,"hi. I'm trying to figure out why the app is crashing when I click menu buttons. it just says ""unfortunately Google home has stopped"" whenever I click any of the buttons on the bottom of the home screen in the app."
,"Gaurav Saxena","April 30, 2019",1,"cant set language for my google home mini , application keep crashing."
,"lil skyhigh","April 30, 2019",5,"great"
